ALLSHIPS QUERY: PASS
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|id   |flyableStatus|name                              |price |edition                   |unlimitedstock|quantity|limitedTimeOffer|
|=================================================================================================================================|
|12988|Flyable      |Aurora ES                         |20.0  |Aurora ES Upgrade         |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14031|Flyable      |Aurora LX                         |35.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14032|Flyable      |Aurora MR                         |30.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|12991|Flyable      |Aurora CL                         |45.0  |Aurora CL Upgrade         |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14030|Flyable      |Aurora LN                         |40.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13746|Flyable      |300i                              |60.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14886|Flyable      |300i                              |60.0  |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|12994|Flyable      |315p                              |65.0  |315p Upgrade              |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|12995|Flyable      |325a                              |70.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |350r                              |125.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|12997|Flyable      |F7C Hornet                        |110.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|12998|Flyable      |F7C-S Hornet Ghost                |125.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|12999|Flyable      |F7C-R Hornet Tracker              |140.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13000|Flyable      |F7C-M Super Hornet                |180.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13199|Flyable      |F7C-M Super Hornet                |180.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14490|Flyable      |F7C-M Super Hornet                |180.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13002|Flyable      |Freelancer                        |110.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13628|Flyable      |M50                               |100.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14893|Flyable      |Caterpillar                       |330.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13242|Flyable      |Caterpillar                       |330.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |Scythe                            |300.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Production   |Idris-P                           |1500.0|None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13006|Flyable      |Freelancer DUR                    |135.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13007|Flyable      |Freelancer MAX                    |150.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13962|Flyable      |Freelancer MAX                    |150.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13581|Flyable      |Freelancer MIS                    |175.0 |Limited Warbond Edition   |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13319|Flyable      |Freelancer MIS                    |175.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13001|Flyable      |Freelancer MIS                    |175.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14140|Flyable      |Freelancer MIS                    |175.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13627|Flyable      |Khartu-Al                         |170.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14828|Flyable      |Khartu-Al                         |170.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13905|Concept      |Merchantman                       |550.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13010|Production   |Hull C                            |350.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15037|Production   |Hull C                            |350.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14469|Flyable      |Constellation Andromeda           |240.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14541|Flyable      |Constellation Andromeda           |240.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15074|Flyable      |Constellation Andromeda           |240.0 |Subscribers Edition       |True          |0       |True            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14548|Flyable      |Constellation Taurus              |190.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14539|Flyable      |Constellation Taurus              |190.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15075|Flyable      |Constellation Taurus              |190.0 |Subscribers Edition       |True          |0       |True            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13013|Flyable      |Constellation Aquila              |310.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15076|Flyable      |Constellation Aquila              |310.0 |Subscribers Edition       |True          |0       |True            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |Constellation Phoenix             |350.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14813|Flyable      |Reclaimer                         |400.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |890 Jump                          |950.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13017|Flyable      |Cutlass Black                     |100.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13969|Flyable      |Cutlass Black                     |100.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13606|Flyable      |Cutlass Red                       |135.0 |Warbond Subscriber Edition|True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13607|Flyable      |Cutlass Red                       |135.0 |Subscriber Edition        |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13326|Flyable      |Cutlass Red                       |135.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13327|Flyable      |Cutlass Red                       |135.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14141|Flyable      |Cutlass Red                       |135.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13582|Flyable      |Cutlass Blue                      |175.0 |Limited Warbond Edition   |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15023|Flyable      |Redeemer                          |325.0 |Warbond Edition           |True          |0       |True            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15024|Flyable      |Redeemer                          |325.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15025|Flyable      |Redeemer                          |325.0 |Standard Edition          |True          |0       |True            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13021|Flyable      |Gladius                           |90.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14480|Flyable      |Gladius                           |90.0  |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |Herald                            |85.0  |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14809|Flyable      |Carrack                           |600.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13634|Flyable      |Carrack                           |600.0 |Subscriber Edition        |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13375|Flyable      |Carrack                           |600.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13968|Flyable      |Carrack                           |600.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13023|Flyable      |Carrack                           |600.0 |Anvil Carrack Upgrade     |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13024|Flyable      |Gladiator                         |165.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14491|Flyable      |Gladiator                         |165.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13025|Flyable      |Mustang Alpha                     |30.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13026|Flyable      |Mustang Beta                      |40.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13027|Flyable      |Mustang Gamma                     |55.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13237|Flyable      |Mustang Delta                     |65.0  |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |Mustang Omega                     |55.0  |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13030|Concept      |Orion                             |575.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13580|Flyable      |Retaliator Bomber                 |275.0 |Limited Warbond Edition   |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13032|Flyable      |Vanguard Warden                   |260.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13959|Flyable      |Vanguard Warden                   |260.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14099|Flyable      |Vanguard Warden                   |260.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13033|Concept      |Hull A                            |80.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15035|Concept      |Hull A                            |80.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13034|Concept      |Hull B                            |140.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15036|Concept      |Hull B                            |140.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13035|Concept      |Hull D                            |450.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|15038|Concept      |Hull D                            |450.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Concept      |Hull E                            |750.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13037|Flyable      |Starfarer                         |300.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13038|Flyable      |Starfarer Gemini                  |340.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13040|Flyable      |Reliant Kore                      |65.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14150|Flyable      |Reliant Kore                      |65.0  |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Production   |Genesis                           |400.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |P-52 Merlin                       |25.0  |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |Glaive                            |350.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13044|Flyable      |Vanguard Harbinger                |290.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|14483|Flyable      |Vanguard Harbinger                |290.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13045|Flyable      |Vanguard Sentinel                 |275.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13046|Concept      |Endeavor                          |350.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13047|Flyable      |Sabre                             |170.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13241|Flyable      |Sabre                             |170.0 |Warbond Edition           |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13048|Concept      |Retaliator Base                   |150.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13049|Flyable      |Avenger Stalker                   |60.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13050|Flyable      |Avenger Warlock                   |85.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13745|Flyable      |Avenger Titan                     |55.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13053|Concept      |Crucible                          |350.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |P72 Archimedes                    |35.0  |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13055|Flyable      |Reliant Mako                      |95.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13056|Flyable      |Reliant Sen                       |85.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13039|Flyable      |Reliant Tana                      |75.0  |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|None |Flyable      |Blade                             |275.0 |None                      |None          |None    |None            |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
|13058|Flyable      |Prospector                        |155.0 |Standard Edition          |True          |0       |False           |
|-----|-------------|----------------------------------|------|--------------------------|--------------|--------|----------------|
